Year,Week,Age,Gender,R-value,1rst_Vac,2nd_Vac,Booster,Intensive_Care,Cases,Deaths,Incidence,Hospitalization,Lockdown-Intensity,Date
2021.0,14.0,38.09124831968491,0.5080660460336034,1.12,15.940212886469553,6.202709430256738,0.0,4642.0,12109.0,229.14285714285714,148.41516245487364,9428.95238095238,1,2021-04-12
2021.0,14.0,38.01937460845479,0.5081290095644573,1.09,16.546432463601725,6.291497635279794,0.0,4668.0,26727.0,232.85714285714286,166.7268351383875,9665.904761904761,1,2021-04-13
2021.0,14.0,37.94750089722468,0.5083261346466819,1.06,17.380430975678426,6.391790811144352,0.0,4653.0,28547.0,235.42857142857142,172.5222623345367,9989.047619047618,1,2021-04-14
2021.0,15.0,37.80464375436753,0.5086574212802769,1.02,18.116455590830597,6.476393968743987,0.0,4658.0,25069.0,232.57142857142858,171.68592057761734,10243.047619047618,1,2021-04-15
2021.0,15.0,37.73277004313742,0.509122922398147,1.01,18.746782195949358,6.565872664488814,0.0,4714.0,23082.0,230.57142857142858,171.4283995186522,10429.619047619048,1,2021-04-16
2021.0,15.0,37.6608963319073,0.5097226380002918,1.02,19.119543732392263,6.634086892483197,0.0,4760.0,17702.0,228.0,170.99398315282792,10520.190476190475,1,2021-04-17
2021.0,15.0,37.58902262067719,0.5104565680867117,1.03,19.397246108877276,6.6811040176756,0.0,4818.0,8822.0,230.28571428571428,170.9482551143201,10581.809523809523,1,2021-04-18
2021.0,15.0,37.51714890944707,0.5113247126574063,1.03,19.8085909195538,6.755147719603267,0.0,4910.0,12287.0,232.57142857142858,171.1624548736462,10625.523809523807,1,2021-04-19
2021.0,15.0,37.445275198216954,0.5123270717123759,1.04,20.409190335271138,6.830841862768337,0.0,4951.0,27949.0,234.0,172.632972322503,10619.523809523807,1,2021-04-20
2021.0,15.0,37.373401486986836,0.5134636452516205,1.02,21.19005835308219,6.919168136716201,0.0,4970.0,29376.0,230.85714285714286,173.63056558363417,10571.047619047618,1,2021-04-21
2021.0,16.0,37.23054434412969,0.5147344332751398,1.0,21.87878555673852,7.0002502728130045,0.0,5034.0,25465.0,233.42857142857142,174.10709987966305,10547.619047619048,1,2021-04-22
2021.0,16.0,37.15867063289958,0.5158469471120684,0.98,22.466167007210515,7.083544625699596,0.0,5037.0,22960.0,234.85714285714286,173.96028880866427,10567.42857142857,2,2021-04-23
2021.0,16.0,37.08679692166947,0.5168011867624063,0.95,22.835664952489367,7.154714490807903,0.0,5008.0,18037.0,232.85714285714286,174.36341756919373,10608.190476190475,2,2021-04-24
2021.0,16.0,37.01492321043935,0.5175971522261532,0.93,23.11745854664815,7.2138933950893485,0.0,5040.0,8679.0,228.57142857142858,174.1913357400722,10651.04761904762,2,2021-04-25
2021.0,16.0,36.94304949920923,0.5182348435033096,0.91,23.550486450112015,7.303060527947522,0.0,5106.0,12197.0,227.71428571428572,174.08303249097472,10682.952380952382,2,2021-04-26
2021.0,16.0,36.87117578797911,0.5187142605938753,0.89,24.386701990760535,7.413280410146677,0.0,5050.0,25265.0,218.85714285714286,170.8531889290012,10671.809523809525,2,2021-04-27
2021.0,16.0,36.79930207674901,0.51903540349785,0.88,25.587478588321794,7.5655155701146715,0.0,5033.0,25010.0,210.0,165.59927797833936,10597.904761904761,2,2021-04-28
2021.0,17.0,36.79930207674901,0.5191982722152342,0.88,26.567791362574575,7.72561197897949,0.0,5019.0,21429.0,200.0,160.7424789410349,10492.0,2,2021-04-29
2021.0,17.0,36.72742836551889,0.5191903652540538,0.88,27.3725041662514,7.890075080039483,0.0,5011.0,19162.0,191.0,156.17208182912154,10321.047619047618,2,2021-04-30
2021.0,17.0,36.65555465428877,0.519011682614309,0.88,27.688907705629852,7.978836820261356,0.0,4998.0,15074.0,184.28571428571428,152.60649819494586,10104.952380952382,2,2021-05-01
2021.0,17.0,36.58368094305865,0.5186622242959997,0.88,27.92910464705669,8.057833048846746,0.0,5018.0,6658.0,183.85714285714286,150.17448856799038,9868.666666666668,2,2021-05-02
2021.0,17.0,36.511807231828534,0.518141990299126,0.88,28.3355991814437,8.196211479504486,0.0,4997.0,9129.0,174.0,146.48255114320096,9632.190476190475,2,2021-05-03
